Nombre,Dirección,lat,lon,coord_source,dist_plaza_grande_km,existe_gmaps,estrellas_num,Cantidad de Reseñas,log1p_resenas,Tiene IG,Seguidores IG,log1p_seguidores_ig,Tiene TikTok,Seguidores TT,log1p_seguidores_tt,Likes TT,Tipo Restaurante,tipo_restaurante_ui,Franquicia,franquicia_bin,marca_id,cuenta_social_duplicada,AÑO REGISTRO,CATEGORÍA,Instagram,URL IG,TikTok,URL Tik Tok
PIEDEMONTE,"N6 DON BOSCO E3-123 E3B PEDRO CALIXTO, Quito, Ecuador",-0.2189132,-78.5046152,primaria_C_D,0.8943217308781615,TRUE,4.2,27,3.332204510175204,0,0,0,0,0,0,0,Desconocido,Otro,No posee,0,PIEDEMONTE__296,FALSE,2018,TERCERA / 2 TENEDORES,No tiene,0,No tiene,0
PIM S PANECILLO,"N8 MANABI OE2-04 OE3 GUAYAQUIL, Quito, Ecuador",-0.2297301,-78.5185844,primaria_C_D,1.2292653094119275,TRUE,4.6,2382,7.776115477098742,1,12300,9.417435838868785,1,1730,7.456454555176209,5269,Internacional,Internacional,No posee,0,PIM S PANECILLO__297,FALSE,2008,PRIMERA / 4 TENEDORES,restaurantepims,https://www.instagram.com/restaurantepims/,@restaurantepims,https://www.tiktok.com/@restaurantepims
PIZZA SA,"GARCÍA MORENO N3-96 ESPEJO, Quito, Ecuador",-0.2212929,-78.5110855,primaria_C_D,0.18030972823273375,TRUE,4.4,297,5.697093486505405,1,4585,8.43076346341785,1,842,6.736966958001855,5258,Fast Food,Fast Food,Franquicia,1,PIZZA SA,FALSE,2022,SEGUNDA / 3 TENEDORES,pizzasa,https://www.instagram.com/pizzasa/,@pizzasa.quito,https://www.tiktok.com/@pizzasa.quito
PIZZERIA NEW YORK,"Montúfar N4-161 Chile, Quito, Ecuador",-0.2240956,-78.5130636,primaria_C_D,0.40469423017449635,TRUE,4.7,23,3.1780538303479458,1,11,2.4849066497880004,1,32,3.4965075614664802,952,Fast Food,Fast Food,No posee,0,PIZZERIA NEW YORK__299,FALSE,2023,SEGUNDA / 3 TENEDORES,pizzeria.new.york,https://www.instagram.com/pizzeria.new.york/reels/,@pizzeria.newyork,https://www.tiktok.com/@pizzeria.newyork
PIZZERIA PIZZA,"AMBATO S3-112 BAHIA DE CARAQUEZ, Quito, Ecuador",-0.2186019,-78.5053221,primaria_C_D,0.8255747847074901,TRUE,4.9,359,5.886104031450156,0,0,0,0,0,0,0,Fast Food,Fast Food,No posee,0,PIZZERIA PIZZA__300,FALSE,2025,SEGUNDA / 3 TENEDORES,No tiene,0,No tiene,0
PLATITOS AL PASO LA BAHÍA,"MANABI OE1-31 MONTUFAR, Quito, Ecuador",-0.223594029,-78.51702285,primaria_C_D,0.60933278005335,TRUE,5,1,0.6931471805599453,0,0,0,0,0,0,0,Comida Ecuatoriana,Comida Ecuatoriana,No posee,0,PLATITOS AL PASO LA BAHÍA__301,FALSE,2023,SEGUNDA / 3 TENEDORES,No tiene,0,No tiene,0
PLATOS TIPICOS DEL VALLE,"AV PICHINCHA N1-668 SUCRE, Quito, Ecuador",-0.2232256,-78.514135,respaldo_R_S,0.3534193960104741,FALSE,,0,0,0,0,0,0,0,0,0,Tradicional,Tradicional,No posee,0,PLATOS TIPICOS DEL VALLE__302,FALSE,2023,SEGUNDA / 3 TENEDORES,No tiene,0,No tiene,0
PLAZA EURO CAFÉ,"MORALES OE3-16 GUAYAQUIL, Quito, Ecuador",-0.2196777,-78.5080218,primaria_C_D,0.5062747458721731,TRUE,4.5,212,5.3612921657094255,0,0,0,0,0,0,0,Cafetería,Cafetería,No posee,0,PLAZA EURO CAFÉ__303,FALSE,2022,SEGUNDA / 3 TENEDORES,No tiene,0,No tiene,0
POLLO FORASTERO,"QFHR+GR3, Don Bosco, 170136 Quito",-0.221230875,-78.5079441,primaria_C_D,0.5130666297503268,TRUE,4,266,5.58724865840025,1,1366,7.220373836723949,1,10700,9.278092474027002,89600,Fast Food,Fast Food,Franquicia,1,POLLO FORASTERO,FALSE,2012,SEGUNDA / 3 TENEDORES,elpolloforastero.ec,https://www.instagram.com/elpolloforastero.ec/,@elpolloforastero,https://www.tiktok.com/@elpolloforastero
POLLO QUITEÑO,"GARCÍA MORENO N1-42 ROCAFUERTE, Quito, Ecuador",-0.2209874,-78.5109915,primaria_C_D,0.17627455162641917,TRUE,2.5,2,1.0986122886681098,0,0,0,0,0,0,0,Fast Food,Fast Food,No posee,0,POLLO QUITEÑO__305,FALSE,2018,SEGUNDA / 3 TENEDORES,No tiene,0,No tiene,0
